SID,error_rate%,capsLock_usage,wpm,negative_ud%,negative_uu%,rsa_ratio,lsa_ratio,mean_hold_time1,mean_hold_time2,mean_f1,mean_f2,mean_f3,mean_f4,UID
18,2.8017241379310347,0,48.08294307680749,15.151515151515152,0.4329004329004329,0.0,0.0,118.90259740259741,119.00432900432901,139.84848484848484,258.75108225108227,258.8528138528139,377.7554112554113,4
19,5.057471264367816,0,34.51006543575209,13.594470046082948,0.4608294930875576,0.0,0.0,117.81797235023042,117.63824884792626,158.45391705069125,276.2718894009217,276.0921658986175,393.91013824884794,4
20,5.681818181818182,0,30.95691828871487,12.52847380410023,0.22779043280182232,0.0,0.0,116.49658314350798,116.38952164009112,157.05466970387243,273.5512528473804,273.44419134396355,389.9407744874715,4
21,8.185840707964601,0,29.493363993101553,12.638580931263856,0.6651884700665188,0.0,0.0,116.44567627494457,116.54988913525499,149.30820399113082,265.7538802660754,265.8580931263858,382.3037694013304,4
1,0.0,0,2.9916980379447033,26.53061224489796,0.0,0.0,0.0,3947.3061224489797,3944.877551020408,-1497.6938775510205,2449.612244897959,2447.183673469388,6394.489795918367,5
2,2.9850746268656714,0,12.761395926562418,16.9811320754717,3.1446540880503147,1.0,0.0,565.6981132075472,565.1320754716982,172.80503144654088,738.503144654088,737.937106918239,1303.6352201257862,5
3,0.847457627118644,0,3.977559932712944,20.0,0.0,1.0,0.0,978.9454545454546,1835.290909090909,341.0,1319.9454545454546,2176.2909090909093,3155.2363636363634,5
4,3.4682080924855487,0,4.881002955718457,17.72151898734177,7.59493670886076,1.0,0.0,369.9873417721519,372.0759493670886,1026.2784810126582,1396.26582278481,1398.3544303797469,1768.3417721518988,5
5,24.342105263157894,0,3.4929558723241465,13.793103448275861,0.0,1.0,0.0,261.2068965517241,275.8448275862069,1792.603448275862,2053.810344827586,2068.448275862069,2329.655172413793,5
6,3.9735099337748347,0,3.887458088342485,8.333333333333332,0.0,0.0,0.0,205.89583333333334,182.33333333333334,1746.9166666666667,1952.8125,1929.25,2135.1458333333335,5
7,1.4184397163120568,0,1.9925611052072265,34.48275862068966,0.0,1.0,0.0,2919.551724137931,2153.6206896551726,1230.2413793103449,4149.793103448276,3383.862068965517,6303.413793103448,5
8,7.159904534606206,0,14.570911770617004,14.423076923076922,0.4807692307692308,1.0,0.0,574.0048076923077,574.1201923076923,-0.5432692307692307,573.4615384615385,573.5769230769231,1147.5817307692307,5
9,0.78125,0,10.503620985129084,14.728682170542637,0.0,1.0,0.0,1253.891472868217,1253.6744186046512,-413.4418604651163,840.4496124031008,840.2325581395348,2094.124031007752,5
10,2.967359050445104,0,9.883993133225824,20.930232558139537,0.7751937984496124,1.0,0.0,417.3488372093023,417.13178294573646,475.7519379844961,893.1007751937984,892.8837209302326,1310.2325581395348,5
11,6.981519507186857,0,7.922883929750428,13.684210526315791,0.0,0.0,0.0,934.9578947368421,933.7052631578947,179.82105263157894,1114.778947368421,1113.5263157894738,2048.4842105263156,5
12,3.389830508474576,0,3.530212737343767,13.461538461538462,5.769230769230769,1.0,0.0,3804.5384615384614,3803.5576923076924,-1519.0,2285.5384615384614,2284.5576923076924,6089.096153846154,5
13,5.016722408026756,0,25.44148458545346,12.67123287671233,1.7123287671232876,1.0,0.0,538.0445205479452,538.2054794520548,-127.52739726027397,410.5171232876712,410.67808219178085,948.722602739726,5
14,5.2356020942408374,0,15.969524823461894,18.421052631578945,0.5263157894736842,1.0,0.0,121.28947368421052,121.7,510.4263157894737,631.7157894736843,632.1263157894737,753.4157894736842,5
15,6.769825918762089,0,24.453334885926026,11.600000000000001,0.4,1.0,0.0,121.06,120.744,359.36,480.42,480.104,601.164,5
16,2.8328611898017,0,26.97662026243922,16.761363636363637,0.8522727272727272,1.0,0.0,124.20454545454545,124.2471590909091,216.60227272727272,340.8068181818182,340.8494318181818,465.05397727272725,5
17,3.79746835443038,0,30.86507959189506,20.195439739413683,2.2801302931596092,1.0,0.0,550.0716612377851,547.9869706840391,-211.85016286644952,338.2214983713355,336.13680781758956,886.2084690553746,5
